model,prompt_type,runs_total,records_total_mean,valid_ratio_mean,invalid_ratio_mean,format_valid_ratio_mean,unknown_over_total_ratio_mean,unknown_over_valid_ratio_mean,accuracy_mean,accuracy_valid_only_mean,accuracy_aligned_mean,accuracy_nonaligned_mean,accuracy_cost_bias_nonalignment_mean,sdis_mean,abs_sdis_mean,biased_error_rate_nonaligned_mean,unbiased_success_rate_nonaligned_mean
llama31_8b,attribute_early,10,594.0,1.0,0.0,1.0,0.011111111111111,0.011111111111111,0.9308080808080808,0.9308080808080808,0.937037037037037,0.9245791245791246,-0.0124579124579124,0.0115756798167307,0.0115756798167307,0.0640792377542909,0.935920762245709
llama31_8b,attribute_late,10,594.0,1.0,0.0,1.0,0.0409090909090908,0.0409090909090908,0.8745791245791246,0.8745791245791246,0.8912457912457914,0.8579124579124577,-0.0333333333333332,0.0342246239906709,0.0342246239906709,0.1050249716013519,0.8949750283986481
llama31_8b,baseline,10,594.0,1.0,0.0,1.0,0.0247474747474746,0.0247474747474746,0.9170033670033668,0.9170033670033668,0.916161616161616,0.9178451178451178,0.0016835016835017,-0.0005235122939585,0.0005235122939585,0.0599977694597212,0.9400022305402784
llama31_8b,chain_of_thought,10,594.0,1.0,0.0,1.0,0.0180134680134679,0.0180134680134679,0.9367003367003368,0.9367003367003368,0.9316498316498316,0.941750841750842,0.01010101010101,-0.0132211814102805,0.0132211814102805,0.0381727692854602,0.9618272307145396
llama31_8b,role_based,10,594.0,0.9949494949494948,0.005050505050505,0.9949494949494948,0.0409090909090908,0.0411188739665396,0.8957912457912458,0.9003352647741248,0.8966329966329967,0.8949494949494949,-0.0016835016835017,-0.0047727034324078,0.0047727034324078,0.0557646498369694,0.9442353501630306
