example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
97,Physical_appearance,96,8,12.0,70.180347,7.012963,178.465199,27,14,11
601,Physical_appearance,123,7,17.571429,71.044554,8.678571,138.839445,35,20,6
475,Race_ethnicity,134,6,22.333333,53.208462,12.49768,147.945993,29,22,15
2211,Gender_identity,95,5,19.0,64.570769,10.328205,137.79843,32,13,4
4745,SES,113,6,18.833333,78.3525,8.402381,127.537464,32,16,6
2941,Nationality,105,7,15.0,69.156695,9.079401,143.209877,24,14,13
871,Nationality,92,8,11.5,72.111375,7.483333,169.66759,23,16,9
1133,Physical_appearance,112,6,18.666667,65.945,9.142857,282.933454,30,18,6
4159,Race_ethnicity,122,8,15.25,72.0975,6.866667,103.239587,38,19,6
4061,Race_x_SES,100,4,25.0,64.33253,8.598279,130.385488,39,12,8
1799,Gender_identity,74,6,12.333333,38.410915,13.246995,156.087409,30,11,4
2323,Nationality,92,6,15.333333,64.462368,7.500752,121.437005,22,13,8
9639,Race_x_SES,123,5,24.6,65.41068,8.215811,184.911243,45,15,3
383,Age,112,6,18.666667,78.825455,8.485426,146.0,30,12,14
2655,Race_ethnicity,83,6,13.833333,68.32597,7.410661,73.469388,33,9,4
941,Disability_status,98,7,14.0,62.727143,8.036364,96.875,25,12,8
1333,Gender_identity,88,4,22.0,76.345432,7.001081,117.333333,29,13,8
899,Nationality,90,7,12.857143,62.345541,10.174517,170.666667,24,14,9
1099,Religion,129,6,21.5,49.74,10.667181,105.229592,35,21,12
7963,Race_x_SES,126,7,18.0,62.625784,8.454902,81.063248,35,18,7
3199,SES,112,7,16.0,58.627837,8.506044,131.807145,40,11,5
5201,Gender_identity,99,7,14.142857,64.365251,9.870683,116.262976,30,17,3
3655,Age,120,7,17.142857,54.640652,8.735404,157.126824,34,14,12
1133,Race_x_SES,105,7,15.0,47.947727,10.937662,113.622017,38,11,9
4991,Gender_identity,84,4,21.0,71.333636,7.430303,112.456747,25,15,4
2911,Gender_identity,98,5,19.6,36.05058,13.874262,81.25,28,12,12
1879,Nationality,123,7,17.571429,64.665833,8.733333,117.835199,39,15,7
479,SES,96,5,19.2,55.486081,12.87722,213.333333,28,13,7
701,Race_ethnicity,100,5,20.0,67.806207,7.730049,219.524793,33,11,7
125,Religion,109,6,18.166667,79.290549,6.958242,137.05104,31,18,7
5123,Race_ethnicity,129,3,43.0,65.29422,8.797379,89.256198,42,19,5
541,Disability_status,101,7,14.428571,54.170357,8.009524,110.870741,30,14,7
2299,Nationality,129,8,16.125,59.234408,9.897788,93.875038,29,19,16
1269,SES,107,6,17.833333,76.7229,6.247753,108.641975,31,19,7
5235,Race_ethnicity,127,4,31.75,63.231667,8.681481,89.218079,43,17,5
895,Age,102,5,20.4,78.055909,8.013853,243.550713,25,9,12
1253,Race_ethnicity,104,6,17.333333,51.887101,11.164944,160.493827,35,8,12
23,Physical_appearance,108,6,18.0,63.758879,9.937931,91.776356,27,14,14
953,Age,105,6,17.5,76.774091,8.619913,240.346098,24,12,11
1183,Disability_status,94,6,15.666667,78.108961,6.997403,275.596859,28,10,8
