example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
17,SES,121,6,20.166667,76.271222,6.844444,117.635526,35,12,12
209,Sexual_orientation,131,8,16.375,71.134883,8.514169,147.107438,35,13,17
1127,Age,115,7,16.428571,66.292982,8.437188,128.55831,33,14,9
327,Disability_status,138,8,17.25,75.230612,7.617326,128.521997,36,16,13
1099,Physical_appearance,167,8,20.875,69.593362,10.765517,151.060236,41,25,13
1983,Race_x_SES,150,7,21.428571,60.62857,9.356648,140.128231,54,16,7
959,Physical_appearance,156,6,26.0,74.423333,8.962963,155.709343,41,20,16
5423,SES,149,9,16.555556,80.17489,8.172033,139.52,43,22,6
2569,SES,134,7,19.142857,74.102103,7.120635,158.19563,41,15,9
1443,Disability_status,139,8,17.375,67.106667,8.666667,147.530906,46,13,15
2519,Race_ethnicity,124,8,15.5,72.709514,6.048965,83.210059,47,10,8
