example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
4159,Race_ethnicity,134,9,14.888889,73.348513,6.66379,155.35626,39,22,8
4061,Race_x_SES,109,5,21.8,66.99487,8.066484,144.139887,44,12,8
1799,Gender_identity,90,6,15.0,41.475702,13.487719,205.768258,32,16,6
2323,Nationality,102,7,14.571429,69.383082,7.108621,142.045455,23,16,8
9639,Race_x_SES,117,6,19.5,66.4015,7.4,172.532105,45,14,3
383,Age,113,7,16.142857,81.474375,7.778283,122.0,32,14,11
2655,Race_ethnicity,108,8,13.5,73.85601,6.638384,123.17353,41,12,5
941,Disability_status,93,7,13.285714,68.061757,6.931274,94.451004,24,13,6
1333,Gender_identity,116,5,23.2,78.78872,7.291409,141.607663,32,18,11
899,Nationality,89,7,12.714286,72.618873,8.000805,216.049383,25,14,6
1099,Religion,144,7,20.571429,56.697661,9.748387,111.36,39,24,12
7963,Race_x_SES,135,8,16.875,62.190122,8.403964,105.229592,40,20,7
3199,SES,121,8,15.125,61.11339,8.029025,120.0,41,14,5
5201,Gender_identity,99,6,16.5,64.365251,9.870683,116.262976,30,17,3
3655,Age,124,8,15.5,59.731862,8.573469,122.537468,34,18,9
1133,Race_x_SES,125,8,15.625,51.322099,10.583019,146.737706,43,16,10
4991,Gender_identity,101,5,20.2,71.140122,7.612544,144.557823,26,19,7
2911,Gender_identity,97,6,16.166667,49.739494,10.590235,68.75,26,13,11
1879,Nationality,127,7,18.142857,66.493698,8.38578,90.909091,35,16,8
479,SES,97,6,16.166667,55.557105,12.76391,212.514758,28,13,9
701,Race_ethnicity,108,6,18.0,74.048528,6.800538,230.873699,33,14,7
125,Religion,103,6,17.166667,79.475172,6.810509,116.219008,27,20,7
5123,Race_ethnicity,140,5,28.0,69.457883,7.966807,97.222222,42,22,7
541,Disability_status,99,6,16.5,56.69622,8.100348,93.537415,30,14,7
2299,Nationality,130,9,14.444444,59.657281,9.62807,101.323251,30,19,16
1269,SES,107,6,17.833333,76.7229,6.247753,108.641975,31,19,7
5235,Race_ethnicity,155,5,31.0,61.926667,9.195767,91.911765,49,24,6
895,Age,99,6,16.5,69.845179,9.785714,179.45842,26,9,12
1253,Race_ethnicity,112,8,14.0,60.7275,9.235714,174.301201,37,10,12
23,Physical_appearance,113,7,16.142857,70.543548,8.755146,88.975694,29,16,11
953,Age,101,7,14.428571,66.756452,10.310563,187.5,24,14,12
1183,Disability_status,92,7,13.142857,80.310921,6.431579,233.39908,25,12,9
8645,Race_x_SES,129,6,21.5,63.373415,8.147197,87.603306,40,18,9
827,Gender_identity,103,6,17.166667,70.108415,7.124739,217.738424,32,16,3
3285,SES,132,8,16.5,69.824205,8.772727,124.989855,33,21,10
571,Religion,102,7,14.571429,66.66239,8.485294,116.263707,32,15,7
69,Sexual_orientation,118,7,16.857143,72.799632,8.237255,105.570742,31,18,13
123,Age,141,8,17.625,82.720948,7.868966,90.58368,27,23,5
883,Religion,107,6,17.833333,59.365,9.587302,130.419032,35,15,7
3113,Gender_identity,108,6,18.0,71.513361,7.385348,101.606805,32,18,3
1429,Disability_status,94,8,11.75,66.784904,7.489744,137.79843,27,14,9
255,Disability_status,91,7,13.0,61.122895,9.079699,101.197504,28,15,4
515,Sexual_orientation,121,8,15.125,77.339494,7.261166,128.796617,26,17,12
825,Religion,100,7,14.285714,63.798351,8.005422,127.55102,25,17,5
2705,Race_x_SES,97,6,16.166667,51.8075,10.5,106.691053,40,16,1
841,Religion,109,7,15.571429,62.346518,9.385165,127.599244,31,18,10
5107,Race_x_SES,124,9,13.777778,54.799048,11.904762,179.779281,44,17,9
3033,Gender_identity,103,6,17.166667,48.663411,10.849612,116.263707,29,12,13
1635,Nationality,165,10,16.5,70.7235,9.327943,115.409066,41,23,13
393,Disability_status,125,8,15.625,65.404554,8.297619,169.099324,32,21,8
323,Physical_appearance,129,8,16.125,42.244422,15.443458,140.495868,32,21,13
457,Age,124,6,20.666667,71.60875,7.253191,128.193044,30,16,13
2069,Age,147,10,14.7,71.374421,8.859528,130.615234,36,18,14
1547,Physical_appearance,121,7,17.285714,65.765726,8.468376,161.979352,29,20,7
7787,Race_x_SES,133,8,16.625,69.049581,6.602162,82.908163,37,20,8
779,Disability_status,122,8,15.25,69.292059,8.181513,103.550296,30,16,6
815,Age,117,6,19.5,75.909797,7.090698,170.637119,25,18,15
2207,Nationality,152,8,19.0,60.378759,11.332221,200.588112,41,26,10
3751,Race_x_gender,108,5,21.6,65.861379,9.10936,98.765432,34,19,4
3899,Race_x_gender,122,6,20.333333,64.23,8.55,98.029605,41,20,4
489,Sexual_orientation,119,7,17.0,56.978462,9.815385,134.240363,26,20,13
2337,SES,94,7,13.428571,69.376432,8.000633,168.75,27,14,5
2657,Gender_identity,106,6,17.666667,73.020539,7.54902,135.208221,33,16,7
2157,Race_ethnicity,99,6,16.5,74.689787,6.539024,139.352591,28,19,5
131,Nationality,142,7,20.285714,74.021968,8.36405,99.435636,34,22,11
341,Religion,99,6,16.5,66.256071,8.009524,155.017301,28,14,11
313,Physical_appearance,133,9,14.777778,44.745892,14.752701,129.145408,32,24,12
2021,Nationality,148,11,13.454545,58.350813,8.87,134.607295,36,24,11
5207,Gender_identity,117,6,19.5,66.578411,10.590378,118.0,33,21,4
599,Sexual_orientation,122,8,15.25,70.238839,7.535714,117.47953,31,26,11
1495,Disability_status,101,7,14.428571,65.351807,9.562134,132.871972,28,16,10
161,Disability_status,86,5,17.2,64.795,7.447619,116.34453,29,11,3
583,Sexual_orientation,138,7,19.714286,71.055,8.0,157.093095,36,28,10
143,Disability_status,89,7,12.714286,62.236053,8.553383,121.437005,29,13,4
89,Disability_status,87,7,12.428571,67.775865,6.937671,124.178232,28,14,3
6027,SES,109,7,15.571429,64.365597,8.944382,123.45679,28,20,6
685,Sexual_orientation,104,8,13.0,64.924545,9.854545,111.097084,21,17,11
957,Religion,106,6,17.666667,61.513912,8.944382,116.049383,29,15,12
499,SES,94,6,15.666667,58.270721,11.96036,224.0,29,10,9
535,Sexual_orientation,123,8,15.375,77.555196,7.670588,167.782072,25,19,13
7745,Race_x_gender,93,6,15.5,66.163774,7.494304,103.125,33,10,7
1555,SES,109,6,18.166667,73.21625,5.833333,123.17353,32,20,7
1751,SES,123,8,15.375,63.415035,8.944382,159.167432,40,18,5
1083,Physical_appearance,152,8,19.0,58.701136,12.963636,161.682401,32,29,12
199,Religion,109,8,13.625,79.90398,6.855263,134.548611,24,17,16
8835,Race_x_SES,136,8,17.0,71.807552,6.364138,137.336548,41,20,11
2989,Gender_identity,100,6,16.666667,50.062651,10.044062,73.696145,28,11,13
1285,Physical_appearance,91,7,13.0,58.629261,9.564286,164.365549,28,18,3
1323,Race_ethnicity,110,7,15.714286,57.808065,9.185253,167.496605,34,12,13
1011,Nationality,113,8,14.125,77.232401,6.434211,128.038194,30,20,11
13,Disability_status,119,7,17.0,63.767961,9.769209,232.988166,36,15,6
1463,Race_ethnicity,129,8,16.125,53.245028,10.959735,121.575869,40,21,12
245,Sexual_orientation,95,9,10.555556,69.135903,8.000617,145.746579,23,12,10
1483,Nationality,165,10,16.5,70.331068,8.031781,179.554815,37,21,18
4563,Race_x_gender,100,5,20.0,59.703375,8.016667,95.332018,29,12,10
1643,Nationality,167,9,18.555556,71.194,9.648889,129.480203,42,23,12
6669,Race_x_gender,85,6,14.166667,72.262321,6.928571,190.438405,27,10,8
323,Sexual_orientation,96,8,12.0,66.471375,9.083333,131.492439,24,15,11
1237,Disability_status,113,8,14.125,74.805,7.3,138.165586,28,21,9
695,Religion,145,9,16.111111,66.852978,9.075556,128.495843,36,25,11
17,SES,99,5,19.8,78.362073,6.636934,124.836696,27,14,9
209,Sexual_orientation,93,8,11.625,70.447318,8.000633,143.75,23,12,14
1127,Age,80,6,13.333333,63.854412,8.003361,142.827137,23,13,4
327,Disability_status,107,8,13.375,76.291573,6.747802,141.776938,27,16,9
1099,Physical_appearance,121,7,17.285714,61.697571,12.469811,157.218971,31,20,8
1983,Race_x_SES,104,6,17.333333,52.247586,10.0289,123.966942,41,13,4
959,Physical_appearance,121,4,30.25,71.438214,10.047619,151.299395,29,20,13
5423,SES,125,9,13.888889,79.852365,7.657206,131.963427,33,23,6
2569,SES,94,6,15.666667,72.615455,6.997403,134.77975,29,14,5
1443,Disability_status,102,8,12.75,64.521013,8.028161,118.801653,31,15,13
2519,Race_ethnicity,94,7,13.428571,68.024415,6.535673,76.910751,34,10,6
